PID,post_B2,post_B3,post_B4,post_B8,post_B11,post_B12,NBR_pre,NBR_post,dNBR
132,0.04010000079870224,0.04944999888539314,0.07259999960660934,0.14159999787807465,0.15389999747276306,0.14489999413490295,0.31797468662261963,-0.011518311686813831,329.4930114746094
133,0.03790000081062317,0.04490000009536743,0.05784999951720238,0.11659999936819077,0.15825000405311584,0.14399999380111694,0.4332706928253174,-0.10514196008443832,538.4126586914062
134,0.03779999911785126,0.04684999957680702,0.05909999832510948,0.097850002348423,0.148499995470047,0.1428000032901764,0.4468819499015808,-0.18678578734397888,633.667724609375
135,0.02459999918937683,0.03539999946951866,0.03720000013709068,0.19519999623298645,0.10909999907016754,0.06539999693632126,0.5207280516624451,0.49808135628700256,22.646671295166016
136,0.025100000202655792,0.03020000085234642,0.03754999861121178,0.13519999384880066,0.13795000314712524,0.11905000358819962,0.4927574396133423,0.06352011859416962,429.2373352050781
137,0.01600000075995922,0.016450000926852226,0.022849999368190765,0.06040000170469284,0.07750000059604645,0.06134999915957451,0.4373522400856018,-0.00780285382643342,445.15509033203125
138,0.0284000001847744,0.03610000014305115,0.05225000157952309,0.1298999935388565,0.11720000207424164,0.09870000183582306,0.5505017042160034,0.13648290932178497,414.018798828125
139,0.04659999907016754,0.05420000106096268,0.0722000002861023,0.1151999980211258,0.2361000031232834,0.22619999945163727,0.15661998093128204,-0.3251318037509918,481.7518005371094
140,0.035100001841783524,0.045899998396635056,0.056299999356269836,0.13369999825954437,0.15770000219345093,0.13124999403953552,0.4978313148021698,0.00924704410135746,488.5842590332031
141,0.026399999856948853,0.027000000700354576,0.03290000185370445,0.11559999734163284,0.09989999979734421,0.08540000021457672,0.4643791615962982,0.15024875104427338,314.13043212890625
142,0.04244999960064888,0.050999999046325684,0.06385000050067902,0.10970000177621841,0.19554999470710754,0.19965000450611115,0.2681323289871216,-0.2907709777355194,558.9033203125
143,0.033799998462200165,0.04349999874830246,0.051750000566244125,0.10329999774694443,0.1655000001192093,0.16664999723434448,0.37981152534484863,-0.23467308282852173,614.484619140625
144,0.03689999878406525,0.04800000041723251,0.04964999854564667,0.15459999442100525,0.20720000565052032,0.17020000517368317,0.4146919250488281,-0.048029590398073196,462.7215270996094
145,0.057750001549720764,0.07124999910593033,0.08410000056028366,0.24629999697208405,0.24050000309944153,0.1776999980211258,0.6524590253829956,0.16179245710372925,490.66656494140625
146,0.018050000071525574,0.022199999541044235,0.03280000016093254,0.08129999786615372,0.14830000698566437,0.1083500012755394,0.6384545564651489,-0.1426311880350113,781.0857543945312
147,0.03480000048875809,0.047850001603364944,0.04529999941587448,0.13650000095367432,0.18369999527931213,0.12575000524520874,0.5785440802574158,0.0409914031624794,537.5526733398438
148,0.07370000332593918,0.06560000032186508,0.07150000333786011,0.12380000203847885,0.24269999563694,0.2590999901294708,0.5275329351425171,-0.35335594415664673,880.8888549804688
