FID,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NBR,NDWI,NDRE,BSI
64,0.07720000296831131,0.11940000206232071,0.15060000121593475,0.21619999408721924,0.3215999901294708,0.3598000109195709,0.3799999952316284,0.41100001335144043,0.35269999504089355,0.2198999971151352,0.43234074115753174,0.26687780022621155,-0.5218262076377869,0.2747400403022766,0.04799583554267883
65,0.038600001484155655,0.06260000169277191,0.07639999687671661,0.11990000307559967,0.19949999451637268,0.23669999837875366,0.2630000114440918,0.28040000796318054,0.24940000474452972,0.13519999384880066,0.5497937798500061,0.32094427943229675,-0.6154791116714478,0.37372681498527527,0.03857186436653137
66,0.03660000115633011,0.05979999899864197,0.07360000163316727,0.12389999628067017,0.18240000307559967,0.21320000290870667,0.21279999613761902,0.25380000472068787,0.24940000474452972,0.14069999754428864,0.48603349924087524,0.2039603888988495,-0.5612618923187256,0.2640332579612732,0.12858141958713531
67,0.04334999993443489,0.08169999718666077,0.08380000293254852,0.14284999668598175,0.2833999991416931,0.33364999294281006,0.3783999979496002,0.38359999656677246,0.22030000388622284,0.1242000013589859,0.6373863816261292,0.5057699680328369,-0.6448598504066467,0.45189449191093445,-0.16208581626415253
68,0.03920000046491623,0.0632999986410141,0.0868000015616417,0.13210000097751617,0.1996999979019165,0.22679999470710754,0.26420000195503235,0.27950000762939453,0.26829999685287476,0.15139999985694885,0.5054131150245667,0.2714148163795471,-0.6134351491928101,0.3333333432674408,0.07851175963878632
69,0.06109999865293503,0.08474999666213989,0.10660000145435333,0.10779999941587448,0.13079999387264252,0.15074999630451202,0.1873999983072281,0.17125000059604645,0.2423499971628189,0.15700000524520874,0.2748299241065979,0.0882694348692894,-0.3771817088127136,0.2696476876735687,0.16813123226165771
70,0.02800000086426735,0.0507499985396862,0.061149999499320984,0.0994499996304512,0.18930000066757202,0.219650000333786,0.2304999977350235,0.2500999867916107,0.19020000100135803,0.10254999995231628,0.5806617736816406,0.3841765522956848,-0.6391111016273499,0.3971813917160034,-0.014023728668689728
71,0.05855000019073486,0.07904999703168869,0.10040000081062317,0.11309999972581863,0.1326500028371811,0.14480000734329224,0.17229999601840973,0.1687999963760376,0.2667999863624573,0.17550000548362732,0.26365968585014343,-0.009200717322528362,-0.3709966242313385,0.20742815732955933,0.22799095511436462
72,0.0348999984562397,0.05400000140070915,0.06880000233650208,0.09510000050067902,0.1370999962091446,0.1589999943971634,0.18440000712871552,0.18610000610351562,0.23399999737739563,0.14470000565052032,0.4565560817718506,0.12063203006982803,-0.5469798445701599,0.319499135017395,0.1599310338497162
73,0.03240000084042549,0.06459999829530716,0.05719999969005585,0.13760000467300415,0.3118000030517578,0.35899999737739563,0.3864000141620636,0.42289999127388,0.2085999995470047,0.1088000014424324,0.742110013961792,0.5605815649032593,-0.7135255336761475,0.4748091697692871,-0.22348818182945251
74,0.039650000631809235,0.0551999993622303,0.05584999918937683,0.08980000019073486,0.1462000012397766,0.16760000586509705,0.2085999995470047,0.19065000116825104,0.21369999647140503,0.14079999923706055,0.577613890171051,0.19404694437980652,-0.5815011262893677,0.3981233239173889,0.04113556444644928
75,0.045099999755620956,0.06719999760389328,0.08560000360012054,0.12319999933242798,0.1941000074148178,0.21320000290870667,0.2409999966621399,0.2451000064611435,0.265500009059906,0.16110000014305115,0.4758113622665405,0.19870677590370178,-0.5639195442199707,0.32344865798950195,0.10200881212949753
76,0.04749999940395355,0.06844999641180038,0.08429999649524689,0.12555000185966492,0.19470000267028809,0.2223999947309494,0.20669999718666077,0.24050000309944153,0.225150004029274,0.14605000615119934,0.42061856389045715,0.17193476855754852,-0.5024532079696655,0.244243785738945,0.09802182763814926
77,0.04569999873638153,0.05810000002384186,0.0803999975323677,0.09709999710321426,0.10209999978542328,0.11079999804496765,0.11460000276565552,0.1315000057220459,0.2506999969482422,0.16220000386238098,0.17538464069366455,-0.1719653159379959,-0.3271569311618805,0.08266417682170868,0.34757834672927856
78,0.033799998462200165,0.061799999326467514,0.06019999831914902,0.12860000133514404,0.27950000762939453,0.31150001287460327,0.31439998745918274,0.3449999988079071,0.19910000264644623,0.1062999963760376,0.6785904765129089,0.49465176463127136,-0.6714513301849365,0.4194130599498749,-0.14633741974830627
79,0.05550000071525574,0.07360000163316727,0.09669999778270721,0.12514999508857727,0.1551000028848648,0.17755000293254852,0.18050000071525574,0.20604999363422394,0.29635000228881836,0.18174999952316284,0.3023088276386261,-0.003450652351602912,-0.4207004904747009,0.18108950555324554,0.24966219067573547
80,0.011500000022351742,0.0348999984562397,0.01744999922811985,0.08829999715089798,0.3334999978542328,0.41054999828338623,0.37400001287460327,0.43709999322891235,0.1563500016927719,0.06925000250339508,0.9108443260192871,0.6875352263450623,-0.8292981386184692,0.6179969906806946,-0.37850886583328247
81,0.021299999207258224,0.04834999889135361,0.03034999966621399,0.0986500009894371,0.2628999948501587,0.30709999799728394,0.32820001244544983,0.3362500071525574,0.1671999990940094,0.08555000275373459,0.8307070136070251,0.5864652395248413,-0.7431948184967041,0.53777676820755,-0.2777625620365143
82,0.03400000184774399,0.05790000036358833,0.06080000102519989,0.12160000205039978,0.20919999480247498,0.24140000343322754,0.26179999113082886,0.2922999858856201,0.2240999937057495,0.1264999955892563,0.6230626106262207,0.3484419286251068,-0.6377854347229004,0.36567550897598267,-0.018770447000861168
83,0.05790000036358833,0.08619999885559082,0.11225000023841858,0.16895000636577606,0.2350499927997589,0.270550012588501,0.29910001158714294,0.3181000053882599,0.2479500025510788,0.14399999380111694,0.45423606038093567,0.35003387928009033,-0.5525564551353455,0.27806857228279114,0.004461782984435558
84,0.039900001138448715,0.06260000169277191,0.07259999960660934,0.11749999970197678,0.17219999432563782,0.20170000195503235,0.23999999463558197,0.23980000615119934,0.25200000405311584,0.1501999944448471,0.5355086326599121,0.2301383912563324,-0.5862524509429932,0.34265732765197754,0.07394542545080185
85,0.036400001496076584,0.04919999837875366,0.06930000334978104,0.07989999651908875,0.08820000290870667,0.09390000253915787,0.10499999672174454,0.11190000176429749,0.22609999775886536,0.14399999380111694,0.2048192322254181,-0.15662650763988495,-0.3618676960468292,0.13574905693531036,0.35256409645080566
86,0.027799999341368675,0.04899999871850014,0.03945000097155571,0.07050000131130219,0.2021999955177307,0.23430000245571136,0.2721000015735626,0.2635500133037567,0.15805000066757202,0.08735000342130661,0.7467501163482666,0.5139796733856201,-0.6947991251945496,0.5884413123130798,-0.20587052404880524
87,0.05784999951720238,0.10459999740123749,0.11110000312328339,0.1987999975681305,0.32739999890327454,0.37174999713897705,0.3930000066757202,0.421999990940094,0.30535000562667847,0.17624999582767487,0.5592144131660461,0.3807641863822937,-0.5795820355415344,0.3281514048576355,-0.039663318544626236
88,0.03359999880194664,0.04964999854564667,0.05270000174641609,0.0799499973654747,0.11344999819993973,0.13230000436306,0.13369999825954437,0.15379999577999115,0.2159000039100647,0.14110000431537628,0.43454933166503906,-0.026928696781396866,-0.45841288566589355,0.2515797019004822,0.23239277303218842
89,0.06759999692440033,0.1031000018119812,0.12359999865293503,0.19345000386238098,0.2989000082015991,0.3471499979496002,0.3716000020503998,0.40389999747276306,0.2809000015258789,0.16060000658035278,0.5008077621459961,0.3964674770832062,-0.5656203627586365,0.31528183817863464,-0.04112836346030235
90,0.030950000509619713,0.04675000160932541,0.04190000146627426,0.08940000087022781,0.2093999981880188,0.24525000154972076,0.23360000550746918,0.27140000462532043,0.19329999387264252,0.11599999666213989,0.6958257555961609,0.33638447523117065,-0.6664882898330688,0.44643962383270264,-0.0587293840944767
91,0.06265000253915787,0.10729999840259552,0.12070000171661377,0.19179999828338623,0.3571999967098236,0.4088999927043915,0.45320001244544983,0.46709999442100525,0.33695000410079956,0.1839500069618225,0.5793692469596863,0.4225849509239197,-0.6171275973320007,0.4052713215351105,-0.05978429317474365
92,0.022600000724196434,0.04490000009536743,0.05559999868273735,0.09629999846220016,0.17970000207424164,0.20469999313354492,0.22699999809265137,0.24169999361038208,0.20419999957084656,0.1151999980211258,0.6065109968185425,0.3267095386981964,-0.6697314977645874,0.4042684733867645,0.020023556426167488
93,0.0364999994635582,0.06279999762773514,0.07490000128746033,0.12409999966621399,0.21469999849796295,0.2533000111579895,0.2750000059604645,0.30300000309944153,0.23229999840259552,0.1264999955892563,0.571877658367157,0.36986303329467773,-0.6281823515892029,0.378100723028183,-0.0069500659592449665
94,0.05079999938607216,0.06700000166893005,0.08839999884366989,0.10565000027418137,0.12434999644756317,0.13795000314712524,0.14740000665187836,0.16314999759197235,0.27239999175071716,0.16965000331401825,0.25021207332611084,-0.07017819583415985,-0.375,0.16498717665672302,0.2908765375614166
